"region_final1","date","specimen","h3n2","h3n2_LL","h3n2_UL","bv","bv_LL","bv_UL"
"Temperate regions (SH)",2018-02-12,2183,77.0365853658537,72.0333394917149,80.6441755657909,24.3,4.38700118406208,45.7852943698788
"Temperate regions (SH)",2018-02-19,2338,61.8511904761905,58.5811391060207,64.5842556633693,19.8333333333333,5.3363836785161,35.0775634064388
"Temperate regions (SH)",2018-02-26,2378,45.9,43.8691625824397,47.9337290738062,19.3528138528139,2.95822494439492,36.1026051293068
"Temperate regions (SH)",2018-03-05,2493,49.9166666666667,47.9041730263559,51.698631685936,8.75,2.8199349571983,14.89606702764
"Temperate regions (SH)",2018-03-12,2762,45.5294117647059,45.2987768990832,45.7534898885094,8.75263157894737,0.408137571334755,18.6832559608266
"Temperate regions (SH)",2018-03-19,3201,49.8166666666667,48.5899402979628,51.5051416197424,13.8333333333333,0.65079117093425,28.8938611699158
"Temperate regions (SH)",2018-03-26,2923,32.4395604395604,30.7336862280718,34.9733275278464,9.03225806451613,3.8106471185692,13.8738957909028
"Temperate regions (SH)",2018-04-02,3823,57.9775,55.915033678669,60.2392106314721,10.3028571428571,2.89480365356701,18.1560039133725
"Temperate regions (SH)",2018-04-09,3955,66.1583177460837,64.164723772463,68.9185290945728,16.7727272727273,3.53081561821502,34.0282288188805
"Temperate regions (SH)",2018-04-16,4373,84.4853741496599,80.3848653596385,90.1497455925814,22.9444444444444,3.88416725059359,51.0783157505844
"Temperate regions (SH)",2018-04-23,4033,82.8527777777778,77.6794769134441,93.5778997655255,30.4047619047619,9.0970459118118,60.2401825440161
"Temperate regions (SH)",2018-04-30,4758,115.462352941177,105.651329944007,134.774249077491,20.3333333333333,7.15843562311476,37.9011978978151
"Temperate regions (SH)",2018-05-07,5233,145.478723404255,140.798648821132,152.102073832602,15.2346153846154,5.86205114301312,27.1432184064626
"Temperate regions (SH)",2018-05-14,5780,151.533333333333,147.004408764082,156.210055720214,12.1838827838828,5.41357090333581,23.1759932934288
"Temperate regions (SH)",2018-05-21,6212,141.571428571429,137.694636205665,147.838384293844,12.5714285714286,2.96782459524442,25.1110699659123
"Temperate regions (SH)",2018-05-28,7032,140.422727272727,136.19082290525,146.157349620862,12.8557142857143,4.23234349458756,23.4169342903745
"Temperate regions (SH)",2018-06-04,7851,171.556690500511,166.524526753645,178.239746681786,19.7936507936508,9.90844456399827,31.8216360650046
"Temperate regions (SH)",2018-06-11,8087,194.342320261438,190.214554577489,199.341813586432,31.7192780337942,16.9436739035147,45.6823596366842
"Temperate regions (SH)",2018-06-18,8818,219.332138597836,211.815067669272,228.078741529557,27.758658008658,15.7181543891899,41.3940660793283
"Temperate regions (SH)",2018-06-25,9353,271.920112044818,268.030945594171,277.364022108623,34.1491228070175,21.3345662235395,47.4859277333865
"Temperate regions (SH)",2018-07-02,9139,300.679350011719,294.631290234877,307.182415216198,33.4659090909091,16.4050106158931,52.0305586740022
"Temperate regions (SH)",2018-07-09,9113,343.075638901318,328.015063590722,360.183135103275,39.2382650029708,18.2717965172416,63.2578791984154
"Temperate regions (SH)",2018-07-16,8981,303.121031746031,292.25094157163,315.841369037215,43.1285714285714,16.7613109937327,74.1100690354712
"Temperate regions (SH)",2018-07-23,8384,319.645527021997,307.747388856025,333.635366939465,45.8363636363637,22.4263044218759,72.2219873669295
"Temperate regions (SH)",2018-07-30,7242,296.152913752914,286.778372033386,306.283123928469,42.3277777777778,22.1341964190922,66.3564441763901
"Temperate regions (SH)",2018-08-06,7182,380.213463708315,367.311632628614,392.907214745818,59.4,32.3315487424483,89.1384595787193
"Temperate regions (SH)",2018-08-13,7442,386.536421499293,373.94658681026,398.793421118598,80.1552773061686,51.0059315336686,112.993791956465
"Temperate regions (SH)",2018-08-20,7164,351.723647722441,336.452643453344,367.787371451467,76.8449589764984,46.5858345230523,111.565048706731
"Temperate regions (SH)",2018-08-27,7277,286.604851973684,272.859762554087,301.636161031184,88.0477302631579,63.3605378411097,116.231919918573
"Temperate regions (SH)",2018-09-03,7178,183.398564962934,175.897532733855,190.553486482216,85.1910615695554,63.5944217287172,109.167962092147
"Temperate regions (SH)",2018-09-10,6890,190.323064383031,178.927414543377,202.880755614283,111.941520467836,87.8612251752837,137.542753198692
"Temperate regions (SH)",2018-09-17,5894,133.499952100856,127.696083186105,140.013151164684,92.4416305916305,73.5476221995311,113.160317848809
"Temperate regions (SH)",2018-09-24,5650,119.459512417407,111.057999399653,127.71585934029,57.6351648351648,40.9304090096146,76.5352351738614
"Temperate regions (SH)",2018-10-01,4972,141.028352014893,133.543472600449,149.092586609799,48.9516600790514,33.5503386850007,65.9065541278823
"Temperate regions (SH)",2018-10-08,4515,79.8848634124496,73.5902532422244,87.5563045329397,42.7700716845878,20.8907496482704,70.8799320129781
"Temperate regions (SH)",2018-10-15,4193,74.1293995859213,68.3485270677789,80.4848121277036,37.719696969697,17.492201563305,57.7491644468596
"Temperate regions (SH)",2018-10-22,3888,70.3010638297872,65.5946432700971,76.0738175977822,33.8074866310161,20.4172132575716,49.3361979729313
"Temperate regions (SH)",2018-10-29,3415,33.1333333333333,29.7329280424469,37.7786385109288,21.3214285714286,8.41783608567702,36.3607204591435
"Temperate regions (SH)",2018-11-05,3529,47.6,42.3475455635155,53.2198077053539,49.4357484620643,39.2943996947556,61.0438886171001
"Temperate regions (SH)",2018-11-12,3210,44.1851851851852,38.4719847945243,48.8443999995196,29.5100250626566,14.8957607867069,46.6508098273107
"Temperate regions (SH)",2018-11-19,3313,33.6529411764706,30.8819300346546,37.1347643253743,27.7,16.3365950314591,39.2150344958122
"Temperate regions (SH)",2018-11-26,3063,53.1541822721598,50.7676652741249,55.7506204805334,45.1428571428571,32.5296333299396,57.7550795904033
"Temperate regions (SH)",2018-12-03,2877,65.3433734939759,63.6865615477094,67.163360231482,38.7307692307692,25.7870636573955,47.4428570960579
"Temperate regions (SH)",2018-12-10,2836,58.5689655172414,57.4102812359126,59.8232922909868,44.9411764705882,30.7063036130516,57.4201388524135
"Temperate regions (SH)",2018-12-17,2295,56.7786885245902,55.0266959708433,58.6772242259945,35.2444444444444,17.7522275264716,47.5389732982979
"Temperate regions (SH)",2018-12-24,1707,70.4358974358975,67.0254487241186,73.7426604730613,9.125,0.453610296861901,17.959616397225
"Temperate regions (SH)",2018-12-31,2632,158.406193078324,154.09551211506,162.27393346171,98.7380952380953,74.5647115364992,118.9938257743
"Temperate regions (SH)",2019-01-07,3006,143.055900621118,141.466112670111,144.593478812919,19.25,11.7433956009689,26.7988859282699
"Temperate regions (SH)",2019-01-14,3004,146.63768115942,144.44314974847,149.573375890325,13.1666666666667,4.36210176133574,21.8178886809759
"Temperate regions (SH)",2019-01-21,3029,144.318095238095,139.491062634682,148.200106659099,17.9,6.6060829150682,27.5245242943223
"Temperate regions (SH)",2019-01-28,2903,98.4444444444444,90.6521062117947,106.451313619884,17.0333333333333,10.4368488584748,24.0443876944409
"Temperate regions (SH)",2019-02-04,3012,136.227922077922,130.410758575323,140.862433334523,13.5666666666667,6.34922831054477,21.394994400592
"Temperate regions (SH)",2019-02-11,3105,104.5,96.8529872317731,110.691927967169,9.8,3.90464849576656,15.2340359905082
"Temperate regions (SH)",2019-02-18,3349,114.59649122807,107.473292362987,120.555080287391,4.75,0.217018793298063,10.3629911308936
"Temperate regions (SH)",2019-02-25,3308,124.144736842105,115.467592536079,131.323282650107,14.15,5.29729413909376,24.6794265375279
"Temperate regions (SH)",2019-03-04,3159,76.2266666666667,65.5796916654464,85.63033603919,12.4285714285714,5.24051427362979,22.439172739711
"Temperate regions (SH)",2019-03-11,3667,94.2307692307692,85.877909074853,101.843174421448,14.1833333333333,5.22180746028351,25.3974151040269
"Temperate regions (SH)",2019-03-18,4555,111.141176470588,101.745824656093,120.605443913377,39.6666666666666,28.6315261280072,50.206692482145
"Temperate regions (SH)",2019-03-25,4745,120.303571428571,106.736618129373,130.358236455296,16.9166666666667,3.59062349167622,30.440133763597
"Temperate regions (SH)",2019-04-01,4789,107.382011605416,95.0429496315454,118.010423176974,21.3571428571429,11.2894108391195,31.2471202899261
"Temperate regions (SH)",2019-04-08,5054,186.507575757576,177.877582283957,193.116206422729,24.6944444444444,17.0119932448778,31.7839514538135
"Temperate regions (SH)",2019-04-15,4742,203.163636363636,195.058364660575,210.31576773914,16.8333333333333,8.55384006595251,24.3386618801097
"Temperate regions (SH)",2019-04-22,5737,249.892982716783,238.883783350923,260.839824222597,12.5714285714286,2.51684297805796,23.3370325057596
"Temperate regions (SH)",2019-04-29,5803,298.290627734033,283.240711464073,310.316592645209,21.9642857142857,8.85248242830783,34.4906768045374
"Temperate regions (SH)",2019-05-06,6578,396.677306835633,383.795089049432,410.371428260481,29.9,19.3292703237914,40.0524481049983
"Temperate regions (SH)",2019-05-13,7984,571.776553834386,551.390902306407,593.367401445954,48.7761904761905,33.9182540262481,63.7199190138803
"Temperate regions (SH)",2019-05-20,9525,883.565652829182,865.617478396891,902.245527237057,94.5761904761905,64.0351560051933,124.424561003556
"Temperate regions (SH)",2019-05-27,10433,982.208092447093,966.916024377358,997.078339326367,84.327468230694,52.8467658581194,116.179714097968
